order,title,points,comments,title_count_words,timestamp,filter,crawl_id,crawler_version,runtime
10,Three years in North Korea as a foreigner (2021) (mydiplomaticlife.com),376,193,10,2024-07-12 12:58:51.568469,More than 5 words in title sorted by comments,9d46c592-2c4c-456f-bcbf-7c15ad4c2181,V. 1.0,0.006465435028076172
13,"As an Employee, You Are Disposable (2023) (nelson.cloud)",155,183,8,2024-07-12 12:58:51.568469,More than 5 words in title sorted by comments,9d46c592-2c4c-456f-bcbf-7c15ad4c2181,V. 1.0,0.006465435028076172
24,Iconography of the X Window System: The Boot Stipple (matttproud.com),188,122,10,2024-07-12 12:58:51.568469,More than 5 words in title sorted by comments,9d46c592-2c4c-456f-bcbf-7c15ad4c2181,V. 1.0,0.006465435028076172
3,WebVM is a server-less virtual Linux environment running client-side (webvm.io),498,105,10,2024-07-12 12:58:51.568469,More than 5 words in title sorted by comments,9d46c592-2c4c-456f-bcbf-7c15ad4c2181,V. 1.0,0.006465435028076172
28,The Typeset of Wall·E (2018) (typesetinthefuture.com),590,75,6,2024-07-12 12:58:51.568469,More than 5 words in title sorted by comments,9d46c592-2c4c-456f-bcbf-7c15ad4c2181,V. 1.0,0.006465435028076172
25,Capturing Linux SSL/TLS plaintext without a CA certificate using eBPF (github.com/gojue),139,54,11,2024-07-12 12:58:51.568469,More than 5 words in title sorted by comments,9d46c592-2c4c-456f-bcbf-7c15ad4c2181,V. 1.0,0.006465435028076172
27,The Great Lightbulb Conspiracy (2014) (ieee.org),53,49,6,2024-07-12 12:58:51.568469,More than 5 words in title sorted by comments,9d46c592-2c4c-456f-bcbf-7c15ad4c2181,V. 1.0,0.006465435028076172
11,FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-Precision (together.ai),251,47,10,2024-07-12 12:58:51.568469,More than 5 words in title sorted by comments,9d46c592-2c4c-456f-bcbf-7c15ad4c2181,V. 1.0,0.006465435028076172
12,Gene-silencing tool shows promise as a future therapy against prion diseases (news.mit.edu),160,39,12,2024-07-12 12:58:51.568469,More than 5 words in title sorted by comments,9d46c592-2c4c-456f-bcbf-7c15ad4c2181,V. 1.0,0.006465435028076172
17,Korvus: Single-Query RAG with Postgres (github.com/postgresml),187,35,6,2024-07-12 12:58:51.568469,More than 5 words in title sorted by comments,9d46c592-2c4c-456f-bcbf-7c15ad4c2181,V. 1.0,0.006465435028076172
2,GE Aerospace Successfully Develops and Tests New Hypersonic Dual-Mode Ramjet (geaerospace.com),47,33,11,2024-07-12 12:58:51.568469,More than 5 words in title sorted by comments,9d46c592-2c4c-456f-bcbf-7c15ad4c2181,V. 1.0,0.006465435028076172
4,Using S3 as a Container Registry (ochagavia.nl),97,31,7,2024-07-12 12:58:51.568469,More than 5 words in title sorted by comments,9d46c592-2c4c-456f-bcbf-7c15ad4c2181,V. 1.0,0.006465435028076172
30,AuraFlow v0.1: a open source alternative to Stable Diffusion 3 (fal.ai),102,21,11,2024-07-12 12:58:51.568469,More than 5 words in title sorted by comments,9d46c592-2c4c-456f-bcbf-7c15ad4c2181,V. 1.0,0.006465435028076172
7,"Floppy8 – A Tiny Computer, in a Floppy Drive (2023) (abe.today)",99,19,11,2024-07-12 12:58:51.568469,More than 5 words in title sorted by comments,9d46c592-2c4c-456f-bcbf-7c15ad4c2181,V. 1.0,0.006465435028076172
19,"Show HN: Mandala – Automatically save, query and version Python computations (github.com/amakelov)",63,14,12,2024-07-12 12:58:51.568469,More than 5 words in title sorted by comments,9d46c592-2c4c-456f-bcbf-7c15ad4c2181,V. 1.0,0.006465435028076172
14,StreamVC: Real-Time Low-Latency Voice Conversion (research.google),60,13,6,2024-07-12 12:58:51.568469,More than 5 words in title sorted by comments,9d46c592-2c4c-456f-bcbf-7c15ad4c2181,V. 1.0,0.006465435028076172
6,"Some thoughts on the web. On web engines, content, and web rent (2023) (liberda.nl)",12,9,14,2024-07-12 12:58:51.568469,More than 5 words in title sorted by comments,9d46c592-2c4c-456f-bcbf-7c15ad4c2181,V. 1.0,0.006465435028076172
15,JavaScript Ben.ch (JavaScript Benchmarking Tools) (jsben.ch),31,5,6,2024-07-12 12:58:51.568469,More than 5 words in title sorted by comments,9d46c592-2c4c-456f-bcbf-7c15ad4c2181,V. 1.0,0.006465435028076172
8,Show HN: Daminik – An Open source digital asset manager (daminik.com),6,3,11,2024-07-12 12:58:51.568469,More than 5 words in title sorted by comments,9d46c592-2c4c-456f-bcbf-7c15ad4c2181,V. 1.0,0.006465435028076172
